"scenario_id","label","note"
"VLT-001","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Dẫn chứng đầy đủ"
"VLT-002","uncertain","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Giải thích vẫn quá rườm rà, dài dòng"
"VLT-003","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] "
"VLT-004","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] "
"VLT-005","uncertain","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Khái niệm thì đúng, nhưng các con số thì chưa chứng minh được rõ ràng"
"VLT-006","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Nội dung đúng, citation khá sát"
"VLT-007","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Trả lời đúng framework và có tính áp dụng"
"VLT-008","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Rất sát câu hỏi, citation tốt nhất trong 3 câu"
"VLT-009","uncertain","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Trả lời sai yêu cầu của người hỏi."
"VLT-010","uncertain","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Đúng bản chất RAG, một số claim rộng hơn citation"
"VLT-011","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Không trả lời phần quan trọng nhất: RAG nào chính xác nhất trên GPT-5.6"
"VLT-012","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Từ chối đúng vì tài liệu không có căn cứ chọn database “tốt nhất”"
"VLT-013","pass","[chấm lại trên output candidate v2] nêu được vấn đề cần clarifynne6"
"VLT-014","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] So sánh đúng, citation hỗ trợ trực tiếp"
"VLT-015","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Bác đúng tiền đề trộn khái niệm (trace code = đơn vị nhãn, taxonomy = bảng phân loại tổng thể), trả lời đúng thứ tự đọc trace → trace code → taxonomy; 1/3 quote (s34) không verbatim — tính điểm trừ, không blocker"
"VLT-016","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Sửa đúng hiểu lầm về RAG và fine-tuning"
"VLT-017","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Out-of-scope và không tự bịa quan hệ chunk size–accuracy [nhãn nhóm chốt trên câu S018 bản gốc, giữ nguyên theo thống nhất nhóm]"
"VLT-018","pass","[chấm lại trên output candidate v2] nêu được các bước cần làm"
"VLT-019","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Trả lời đúng pipeline RAG và citation gần như khớp từng ý"
"VLT-020","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Phân biệt RAG/fine-tuning đúng, citation support ý cốt lõi"
"VLT-021","pass","[chấm lại trên output candidate v2] hỏi thêm về model để đưa ra câu trả lời chính xác nhất"
"VLT-022","pass","[chấm lại trên output candidate v2] các tiêu chí đều đạt"
"VLT-023","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Out-of-scope và xử lý đúng [nhãn nhóm chốt trên câu S025 bản gốc, giữ nguyên theo thống nhất nhóm]"
"VLT-024","pass","[chấm lại trên output candidate v2] corpus thật sự KHÔNG có cả embedding lẫn vector database (đếm lại: 0 lần) -> từ chối là đúng; note fail của vòng v1 dựa trên tiền đề sai"
"VLT-025","pass","[giữ nhãn v1 — câu trả lời đã đổi câu chữ] Trả lời đúng hai ý, có điều kiện hóa hợp lý"
"VLT-026","fail","[chấm lại trên output candidate v2] over-refusal: từ chối cả câu trong khi vế retrieval corpus phủ được (23 lần/16 section) — fail R4+R8 theo đúng chữ rubric"
