"scenario_id","label","note"
"VLT-001","pass","Dẫn chứng đầy đủ"
"VLT-002","uncertain","Giải thích vẫn quá rườm rà, dài dòng"
"VLT-003","pass",""
"VLT-004","pass",""
"VLT-005","uncertain","Khái niệm thì đúng, nhưng các con số thì chưa chứng minh được rõ ràng"
"VLT-006","pass","Nội dung đúng, citation khá sát"
"VLT-007","pass","Trả lời đúng framework và có tính áp dụng"
"VLT-008","pass","Rất sát câu hỏi, citation tốt nhất trong 3 câu"
"VLT-009","uncertain","Trả lời sai yêu cầu của người hỏi."
"VLT-010","uncertain","Đúng bản chất RAG, một số claim rộng hơn citation"
"VLT-011","pass","Không trả lời phần quan trọng nhất: RAG nào chính xác nhất trên GPT-5.6"
"VLT-012","pass","Từ chối đúng vì tài liệu không có căn cứ chọn database “tốt nhất”"
"VLT-013","fail","Câu hỏi mơ hồ, câu trả lời tự suy diễn “cái này” là RAG"
"VLT-014","pass","So sánh đúng, citation hỗ trợ trực tiếp"
"VLT-015","pass","Bác đúng tiền đề trộn khái niệm (trace code = đơn vị nhãn, taxonomy = bảng phân loại tổng thể), trả lời đúng thứ tự đọc trace → trace code → taxonomy; 1/3 quote (s34) không verbatim — tính điểm trừ, không blocker"
"VLT-016","pass","Sửa đúng hiểu lầm về RAG và fine-tuning"
"VLT-017","pass","Out-of-scope và không tự bịa quan hệ chunk size–accuracy [nhãn nhóm chốt trên câu S018 bản gốc, giữ nguyên theo thống nhất nhóm]"
"VLT-018","pass","Nhiều nội dung cụ thể về chunking/vector DB không được citation hỗ trợ"
"VLT-019","pass","Trả lời đúng pipeline RAG và citation gần như khớp từng ý"
"VLT-020","pass","Phân biệt RAG/fine-tuning đúng, citation support ý cốt lõi"
"VLT-021","pass","Không tự chọn nghĩa ""model"" — nói rõ chưa đủ thông tin, hỏi lại use case/tiêu chí, đồng thời từ chối làm bài thay (R7) → đạt R6 theo quyết định D1 [đổi từ uncertain sau khi chốt rubric v1]"
"VLT-022","pass","Phân biệt RAG/fine-tuning đúng, citation support ý cốt lõi; vế ""framework RAG mới"" được nói rõ là corpus không có → đạt R8 theo quyết định D2 [đổi từ uncertain sau khi chốt rubric v1]"
"VLT-023","pass","Out-of-scope và xử lý đúng [nhãn nhóm chốt trên câu S025 bản gốc, giữ nguyên theo thống nhất nhóm]"
"VLT-024","fail","Từ chối luôn cả phần embedding vs vector DB dù phần này đã xuất hiện trong corpus"
"VLT-025","pass","Trả lời đúng hai ý, có điều kiện hóa hợp lý"
"VLT-026","fail","Từ chối dù corpus thực tế đã có thông tin về embedding và retrieval"
