"scenario_id","label","note"
"S001","pass","Dẫn chứng đầy đủ"
"S002","uncertain","Giải thích vẫn quá rườm rà, dài dòng"
"S003","pass",""
"S004","pass",""
"S005","uncertain","Khái niệm thì đúng, nhưng các con số thì chưa chứng minh được rõ ràng"
"S006","pass","Nội dung đúng, citation khá sát"
"S007","pass","Trả lời đúng framework và có tính áp dụng"
"S008","pass","Rất sát câu hỏi, citation tốt nhất trong 3 câu"
"S009","uncertain","Trả lời sai yêu cầu của người hỏi."
"S010","uncertain","Đúng bản chất RAG, một số claim rộng hơn citation"
"S011","pass","Không trả lời phần quan trọng nhất: RAG nào chính xác nhất trên GPT-5.6"
"S012","pass","Từ chối đúng vì tài liệu không có căn cứ chọn database “tốt nhất”"
"S013","fail","Câu hỏi mơ hồ, câu trả lời tự suy diễn “cái này” là RAG"
"S014","pass","So sánh đúng, citation hỗ trợ trực tiếp"
"S015","pass","Out-of-scope và từ chối đúng"
"S016","pass","Trả lời đủ cả 3 ý, citation khớp rất tốt"
"S017","pass","Sửa đúng hiểu lầm về RAG và fine-tuning"
"S018","pass","Out-of-scope và không tự bịa quan hệ chunk size–accuracy"
"S019","pass","Nhiều nội dung cụ thể về chunking/vector DB không được citation hỗ trợ"
"S020","pass","Trả lời đúng pipeline RAG và citation gần như khớp từng ý"
"S021","pass","Out-of-scope và từ chối đúng"
"S022","pass","Phân biệt RAG/fine-tuning đúng, citation support ý cốt lõi"
"S023","uncertain","Câu hỏi quá mơ hồ; câu trả lời tự chọn cách hiểu “model”"
"S024","uncertain","Phần RAG vs fine-tuning đúng, nhưng không trả lời được phần “framework RAG mới phổ biến”"
"S025","pass","Out-of-scope và xử lý đúng"
"S026","fail","Từ chối luôn cả phần embedding vs vector DB dù phần này đã xuất hiện trong corpus"
"S027","pass","Trả lời đúng hai ý, có điều kiện hóa hợp lý"
"S028","fail","Từ chối dù corpus thực tế đã có thông tin về embedding và retrieval"
"S029","fail","Nội dung về chunking gần như không được citation hỗ trợ"
"VLT-015","pass","Bác đúng tiền đề trộn khái niệm (trace code = đơn vị nhãn, taxonomy = bảng phân loại tổng thể), trả lời đúng thứ tự đọc trace → trace code → taxonomy; 1/3 quote (s34) không verbatim — tính điểm trừ, không blocker [câu viết thêm ở dataset v1, không nằm trong 29 câu ứng viên]"
